u,i,r,t
190,5969,5.0,1035072000
190,77,5.0,1120262400
190,347,5.0,1118448000
190,2427,5.0,1139616000
190,8170,4.0,1030320000
190,5160,5.0,1108771200
190,7888,4.0,1127952000
190,2918,5.0,1121558400
190,3306,5.0,1039305600
190,1961,5.0,1033776000
190,10110,4.0,1141171200
190,3560,4.0,1039132800
190,9932,5.0,1078531200
190,1181,5.0,1038700800
190,9260,2.0,1028678400
190,47,5.0,1070668800
404,1977,5.0,1000857600
404,8388,5.0,1022716800
404,4867,4.0,1069027200
404,8875,5.0,1352592000
404,2209,5.0,1381104000
404,1044,4.0,1005264000
404,10,5.0,1369353600
404,2248,5.0,1050969600
404,4972,5.0,1178928000
404,2393,5.0,1022889600
404,21,5.0,1145923200
404,1056,5.0,1092268800
404,1453,5.0,1205625600
404,2964,5.0,1068336000
404,5426,5.0,1198022400
404,243,5.0,1001721600
404,3949,4.0,1066608000
404,976,5.0,1168646400
404,6715,5.0,1390176000
404,3338,4.0,1035763200
404,5196,5.0,1096243200
404,3594,5.0,1023235200
404,655,5.0,1220918400
404,137,5.0,1270598400
404,63,5.0,1323820800
404,3616,2.0,1195862400
404,1450,5.0,1092873600
404,5042,4.0,1346803200
404,221,5.0,1098316800
404,9269,5.0,1381276800
404,5354,5.0,1140998400
404,3195,5.0,1071360000
145,743,4.0,1041984000
145,543,5.0,1044144000
145,188,5.0,1042070400
145,1452,4.0,1086220800
145,2804,3.0,1079740800
145,245,4.0,1079395200
145,10266,2.0,1024963200
145,233,5.0,1025568000
145,1516,5.0,1043625600
145,3615,4.0,1026345600
145,5513,5.0,1078444800
145,948,4.0,1043539200
145,65,5.0,1049760000
145,0,5.0,1029110400
145,1509,3.0,1030320000
145,296,5.0,1029369600
145,125,3.0,1041984000
145,1409,5.0,1045094400
145,31,5.0,1042329600
145,4299,4.0,1085702400
145,6833,4.0,1085702400
145,2788,3.0,1086220800
145,58,5.0,1022544000
145,8707,4.0,1038096000
145,1879,4.0,1029369600
145,1042,2.0,1025308800
145,602,3.0,1055894400
145,2609,4.0,1032048000
145,385,5.0,1098144000
145,391,5.0,1025308800
145,3289,4.0,1079481600
145,434,5.0,1049760000
66,10165,3.0,1022457600
66,4857,4.0,1138752000
66,993,2.0,1296432000
66,3524,4.0,1150934400
66,157,5.0,1201132800
66,1373,3.0,1110499200
66,399,3.0,1181433600
66,7248,5.0,1183766400
66,6240,4.0,1296259200
66,3070,5.0,1098316800
66,989,4.0,1101427200
66,314,4.0,1059177600
66,1105,5.0,985392000
66,558,4.0,1040256000
66,191,4.0,1019865600
66,2710,2.0,1140134400
66,621,5.0,1088640000
66,562,5.0,1229904000
66,2882,4.0,1107388800
66,829,4.0,1027641600
66,5671,4.0,1198800000
66,2781,5.0,1337126400
66,3136,4.0,1180828800
66,7583,5.0,1132272000
66,9773,5.0,1132704000
66,4431,4.0,1341964800
66,1084,5.0,1075334400
66,184,3.0,1336262400
66,3591,5.0,1019692800
66,332,3.0,1075334400
66,509,5.0,1203897600
66,745,5.0,1103500800
62,23,5.0,1074384000
62,7663,5.0,1254614400
62,1050,5.0,1237680000
62,1325,5.0,1010534400
62,2470,5.0,1051574400
62,439,4.0,1252281600
62,3267,5.0,1263340800
62,856,4.0,1100822400
62,110,3.0,1162684800
62,8828,3.0,1284940800
62,575,5.0,1053907200
62,1725,3.0,1267228800
62,3583,5.0,1117497600
62,3242,5.0,1015372800
62,265,5.0,1032566400
62,2973,5.0,1068768000
62,434,3.0,989193600
62,608,2.0,1051142400
62,2877,5.0,1028419200
62,529,5.0,1053648000
62,890,4.0,1093046400
62,965,5.0,1023494400
62,1570,4.0,1153958400
62,39,5.0,1074384000
62,4901,4.0,1033862400
62,2106,3.0,1270684800
62,5713,5.0,1248825600
62,1019,5.0,1056240000
62,1124,5.0,1116460800
62,1817,2.0,1155340800
62,2009,4.0,1244246400
62,2191,5.0,1093564800
493,5832,5.0,1216771200
493,4600,3.0,1192924800
493,1107,2.0,1067558400
493,209,5.0,1258156800
493,4659,5.0,1138147200
493,1455,3.0,1065312000
493,5154,4.0,1352073600
493,5505,3.0,1210464000
493,1019,4.0,1049760000
493,33,5.0,1064966400
493,7074,2.0,1218153600
493,2833,4.0,1044576000
493,47,4.0,1037923200
493,971,4.0,1041206400
493,2311,5.0,1063497600
493,1653,4.0,1235520000
493,4952,4.0,1075248000
493,2277,4.0,1209945600
493,2297,4.0,1109289600
493,13,4.0,1153958400
493,1970,4.0,1333497600
493,887,3.0,1069372800
493,1375,4.0,1294358400
493,4214,4.0,1128729600
493,1073,5.0,1253145600
493,89,4.0,1084147200
493,1751,4.0,1317686400
493,5399,4.0,1035504000
493,5089,1.0,1127260800
493,4385,3.0,1081555200
493,6300,3.0,1110067200
493,1244,1.0,1229472000
428,157,5.0,1199836800
428,349,5.0,1241308800
428,1379,5.0,1348444800
428,4609,5.0,1039996800
428,9469,4.0,1041811200
428,1972,4.0,1037491200
428,2984,5.0,1039564800
428,4337,5.0,1201046400
428,356,4.0,1068940800
428,519,5.0,1375488000
428,7353,5.0,1082160000
428,4175,5.0,1253232000
428,7457,4.0,1062806400
428,1970,5.0,1332806400
428,1377,2.0,1046995200
428,511,5.0,1387324800
428,2570,2.0,1101513600
428,2309,3.0,1242864000
428,9,5.0,1343952000
428,498,4.0,1227139200
428,4643,3.0,1043625600
428,3288,5.0,1352678400
428,201,4.0,1291680000
428,1444,3.0,1083456000
428,8393,4.0,1072569600
428,6925,5.0,1039996800
428,15,5.0,1343952000
428,132,4.0,1269216000
428,3961,5.0,1036886400
428,25,4.0,1186617600
428,6338,5.0,1043625600
428,5083,4.0,1077235200
220,3712,5.0,1375488000
220,66,5.0,1262217600
220,1345,4.0,1266796800
220,1358,4.0,1261267200
220,111,5.0,1261699200
220,187,3.0,1374105600
220,3612,5.0,1257206400
220,212,5.0,1263513600
220,2405,2.0,1325376000
220,3618,5.0,1280102400
220,1229,4.0,1336262400
220,545,3.0,1305417600
220,8056,4.0,1330560000
220,9265,5.0,1322352000
220,2527,5.0,1156464000
220,1171,4.0,1340323200
220,5945,3.0,1283040000
220,10123,4.0,1259452800
220,204,4.0,1313712000
220,2329,5.0,1328313600
220,560,2.0,1244678400
220,159,5.0,1315094400
220,93,3.0,1342915200
220,24,4.0,1263772800
220,0,5.0,1261699200
220,242,2.0,1264204800
220,5017,3.0,1281225600
220,9658,4.0,1328918400
220,4053,1.0,1269129600
220,131,2.0,1274745600
220,606,5.0,1307664000
220,936,4.0,1242691200
203,7082,4.0,1027036800
203,1558,3.0,1054166400
203,5141,5.0,1068940800
203,5353,3.0,1016323200
203,1876,4.0,1380153600
203,904,4.0,1370131200
203,383,5.0,1167177600
203,169,4.0,1403222400
203,1437,4.0,1385337600
203,4773,3.0,1370390400
203,360,4.0,1385769600
203,945,4.0,1391385600
203,1018,5.0,1398038400
203,6805,4.0,1339632000
203,773,5.0,1385510400
203,905,5.0,1059868800
203,54,4.0,1095724800
203,1621,5.0,1347062400
203,3813,5.0,1149465600
203,3341,5.0,1362096000
203,4774,3.0,1016668800
203,1234,5.0,1078444800
203,2664,5.0,1039046400
203,2148,2.0,1360972800
203,9448,4.0,1346198400
203,1875,4.0,1361232000
203,0,4.0,1030060800
203,5739,5.0,1387756800
203,511,5.0,1016409600
203,204,4.0,1384992000
203,2894,3.0,1386201600
203,2061,5.0,1388793600
378,4900,5.0,1297123200
378,57,5.0,1024358400
378,5410,5.0,964828800
378,6283,3.0,952819200
378,2278,4.0,957830400
378,63,5.0,1297296000
378,174,5.0,1312243200
378,77,5.0,1006819200
378,3981,3.0,1281225600
378,2807,3.0,1283299200
378,910,3.0,1284163200
378,1336,5.0,1292630400
378,110,3.0,1290729600
378,2927,5.0,1296086400
378,29,4.0,1023840000
378,4004,5.0,1016668800
378,5360,5.0,1279324800
378,2574,5.0,1001894400
378,211,3.0,1141430400
378,4456,5.0,1019001600
378,274,5.0,1282780800
378,364,4.0,1065916800
378,580,3.0,1016150400
378,3577,3.0,1293753600
378,4154,5.0,1144540800
378,230,5.0,1312243200
378,1785,5.0,1001980800
378,0,5.0,1029196800
378,3225,5.0,1014595200
378,7128,5.0,1293062400
378,1456,4.0,1026950400
378,3108,5.0,956016000
108,4630,5.0,1239062400
108,9971,5.0,1378684800
108,8755,5.0,1384473600
108,10195,4.0,1388102400
108,6634,3.0,1030406400
108,9279,5.0,1251504000
108,3991,5.0,1404864000
108,488,5.0,1238976000
108,23,5.0,1071705600
108,474,4.0,1398729600
108,916,5.0,1232496000
108,6097,4.0,1004572800
108,1298,5.0,1239062400
108,603,5.0,1296691200
108,9022,4.0,1382659200
108,7271,5.0,1027641600
108,5983,5.0,1200182400
108,822,5.0,1296691200
108,1908,5.0,1205020800
108,2828,5.0,1404950400
108,84,5.0,1177632000
108,7059,5.0,1228435200
108,2414,5.0,1232236800
108,2272,5.0,1073001600
108,4950,5.0,997315200
108,5157,5.0,1251504000
108,27,5.0,1232150400
108,5134,5.0,1251504000
108,5459,4.0,1032652800
108,9011,5.0,1252800000
108,424,5.0,1232150400
108,5176,5.0,1202860800
2151,3721,5.0,1035590400
2151,4135,3.0,1067990400
2151,277,5.0,1020297600
2151,5961,5.0,1068336000
2151,336,5.0,1091232000
2151,1441,5.0,1069718400
2151,7653,5.0,1103068800
2151,6131,5.0,1090022400
2151,9454,5.0,1071446400
2151,4433,5.0,1048377600
2151,2163,4.0,1040774400
2151,997,5.0,1039737600
2151,888,5.0,1012176000
2151,287,5.0,1012262400
2151,9595,5.0,1069632000
2151,546,5.0,1024790400
2151,3024,4.0,1072137600
2151,3285,5.0,1029542400
2151,2049,5.0,1073520000
2151,2539,5.0,1040774400
2151,5597,5.0,1097193600
2151,1524,5.0,1032048000
2151,6304,5.0,1035936000
2151,6629,5.0,1097366400
2151,5448,5.0,1083542400
2151,2435,5.0,1083542400
2151,89,5.0,1087603200
2151,7727,5.0,1067385600
2151,2351,5.0,1090022400
2151,1001,5.0,1071878400
2151,94,5.0,1084924800
2151,4525,5.0,1097193600
98,10109,5.0,1352851200
98,23,5.0,1104451200
98,625,5.0,1402272000
98,1984,5.0,1294617600
98,355,5.0,1151712000
98,1306,5.0,1124755200
98,9262,2.0,1097280000
98,1994,5.0,1082764800
98,35,5.0,1120435200
98,745,5.0,1114905600
98,12,4.0,1073865600
98,2407,5.0,1349136000
98,5037,5.0,1144972800
98,363,3.0,1181952000
98,5640,4.0,1280448000
98,1865,5.0,1402963200
98,906,5.0,1155168000
98,16,5.0,1135555200
98,1274,5.0,1238803200
98,4950,4.0,1095811200
98,66,5.0,1101686400
98,7033,5.0,1125878400
98,2575,5.0,1120176000
98,583,4.0,1223424000
98,1744,5.0,1241827200
98,5956,5.0,1144108800
98,26,2.0,1099785600
98,5737,5.0,1377820800
98,32,5.0,1073865600
98,88,4.0,1132790400
98,185,5.0,1133308800
98,7250,5.0,1259539200
207,2351,5.0,1193443200
207,3087,3.0,1169596800
207,108,4.0,1172361600
207,1431,5.0,1307318400
207,4120,3.0,1102896000
207,362,3.0,1169683200
207,1263,4.0,1169683200
207,2397,5.0,1162252800
207,467,4.0,1191715200
207,925,5.0,995500800
207,1328,5.0,1188432000
207,5231,4.0,994118400
207,458,5.0,1196380800
207,68,5.0,1120262400
207,89,4.0,1082592000
207,10216,5.0,995587200
207,1861,5.0,1184025600
207,3079,4.0,1201478400
207,2846,4.0,974160000
207,8,5.0,1191715200
207,3133,5.0,1035158400
207,2752,5.0,1151539200
207,29,5.0,1036022400
207,1382,5.0,1211155200
207,7935,3.0,1190937600
207,1094,5.0,977270400
207,504,5.0,1008115200
207,1344,4.0,996019200
207,7676,5.0,1266624000
207,1416,4.0,1194480000
207,2750,5.0,975369600
207,149,3.0,1168905600
2473,7614,5.0,1143417600
2473,4768,4.0,1299801600
2473,7566,3.0,1285200000
2473,4573,4.0,1355184000
2473,5217,4.0,1269907200
2473,2855,5.0,1044489600
2473,2176,5.0,1282262400
2473,3438,5.0,1044403200
2473,8233,4.0,1307145600
2473,498,5.0,1266883200
2473,7305,4.0,1359417600
2473,8785,5.0,1278460800
2473,807,5.0,1033948800
2473,1166,4.0,1287705600
2473,4646,5.0,1044403200
2473,1622,5.0,1044403200
2473,4204,3.0,1274486400
2473,9807,4.0,1290729600
2473,4705,4.0,1282262400
2473,3354,5.0,1035331200
2473,2436,5.0,1282608000
2473,131,5.0,1203984000
2473,5877,5.0,1039132800
2473,2334,4.0,1271980800
2473,385,5.0,1274486400
2473,892,5.0,1304380800
2473,9532,4.0,1284422400
2473,110,4.0,1295913600
2473,7058,4.0,1349136000
2473,7077,5.0,1276560000
2473,6570,4.0,1269820800
2473,1669,4.0,1049846400
408,9445,4.0,1178409600
408,996,2.0,1212796800
408,114,5.0,1179100800
408,2347,1.0,1344038400
408,9199,1.0,1263513600
408,1522,3.0,1337644800
408,909,2.0,1283990400
408,2116,2.0,1214524800
408,274,3.0,1178755200
408,147,1.0,1284336000
408,5897,4.0,1253404800
408,1941,3.0,1178323200
408,4119,3.0,1316131200
408,185,2.0,1179446400
408,3801,2.0,1283990400
408,4668,3.0,1248652800
408,4707,3.0,1274918400
408,2410,4.0,1257724800
408,1838,5.0,1259452800
408,398,2.0,1275436800
408,1466,2.0,1314748800
408,2361,5.0,1110499200
408,2791,2.0,1276646400
408,76,4.0,1254182400
408,0,5.0,1249257600
408,7830,2.0,1252454400
408,521,1.0,1383350400
408,1215,2.0,1178150400
408,1089,2.0,1321660800
408,406,1.0,1272067200
408,9576,3.0,1327968000
408,9842,2.0,1264723200
52,2141,5.0,1106784000
52,97,5.0,1106784000
52,635,4.0,1183248000
52,101,4.0,1077148800
52,356,2.0,1075939200
52,1443,4.0,1119484800
52,2096,1.0,1182124800
52,2185,3.0,1276473600
52,13,5.0,1120348800
52,80,4.0,1095724800
52,494,4.0,1167177600
52,38,5.0,1160611200
52,3046,3.0,1106524800
52,1660,2.0,1076112000
52,362,4.0,1153440000
52,1949,5.0,1201392000
52,588,5.0,1199145600
52,665,3.0,1133740800
52,160,3.0,1101254400
52,58,4.0,1078531200
52,978,4.0,1196208000
52,22,5.0,1209945600
52,845,3.0,1171929600
52,4,5.0,1119225600
52,1934,2.0,1140393600
52,154,3.0,1095638400
52,6799,5.0,1258934400
52,8,5.0,1163980800
52,2077,4.0,1167264000
52,311,4.0,1145318400
52,127,4.0,1262649600
52,402,4.0,1182384000
169,3925,2.0,1130112000
169,2211,4.0,1141948800
169,4746,3.0,1087516800
169,3792,4.0,1273795200
169,5645,3.0,1112486400
169,6615,4.0,1119312000
169,1602,1.0,1149897600
169,1351,4.0,1077667200
169,1178,3.0,1266364800
169,10115,4.0,1323216000
169,7067,4.0,1143244800
169,5021,5.0,1133568000
169,8780,3.0,1070496000
169,2046,3.0,1133481600
169,294,3.0,1088208000
169,1539,4.0,1350518400
169,2566,3.0,1094860800
169,3942,3.0,963446400
169,940,5.0,1101081600
169,6377,4.0,1135900800
169,1921,4.0,1361318400
169,9505,2.0,1270339200
169,1011,3.0,1131753600
169,5294,5.0,1081296000
169,1160,3.0,1129507200
169,271,5.0,1107734400
169,8801,3.0,1093046400
169,8831,2.0,1119139200
169,1395,5.0,1110240000
169,811,4.0,1096675200
169,8606,5.0,973987200
169,2437,4.0,1357603200
411,4169,3.0,1206144000
411,832,5.0,1342224000
411,4081,5.0,1334793600
411,606,5.0,992390400
411,8413,3.0,1208131200
411,7293,5.0,1324684800
411,5974,4.0,1076284800
411,1526,4.0,1139270400
411,3116,4.0,1054252800
411,95,5.0,1183766400
411,1000,5.0,1170374400
411,387,5.0,1346716800
411,889,5.0,1320537600
411,543,5.0,1324512000
411,1037,5.0,1178928000
411,692,5.0,1336176000
411,712,5.0,970531200
411,4661,4.0,1145664000
411,0,5.0,1346025600
411,3022,4.0,1115683200
411,2198,5.0,1202774400
411,495,5.0,1190851200
411,5555,4.0,1063065600
411,2382,4.0,1048032000
411,655,5.0,1340668800
411,1919,5.0,1324512000
411,1253,5.0,1336089600
411,405,5.0,1178928000
411,1585,5.0,1000339200
411,5040,5.0,1153440000
411,950,5.0,1094947200
411,3445,5.0,973123200
121,138,4.0,1226966400
121,8155,4.0,1201651200
121,5665,3.0,1178496000
121,2082,5.0,1194912000
121,4,5.0,1120435200
121,320,3.0,1199577600
121,1875,5.0,1148947200
121,694,4.0,1262044800
121,0,5.0,1110153600
121,5392,3.0,1206230400
121,92,4.0,1262044800
121,2255,5.0,1228435200
121,405,4.0,1175904000
121,3214,4.0,1205107200
121,2572,4.0,1160438400
121,457,5.0,1229904000
121,1305,2.0,1200009600
121,427,5.0,1200787200
121,3406,4.0,1180137600
121,4184,4.0,1179273600
121,1114,4.0,1369180800
121,272,3.0,1237507200
121,879,3.0,1256169600
121,5813,3.0,1241136000
121,600,4.0,1361836800
121,165,5.0,1107475200
121,262,4.0,1182988800
121,9803,5.0,1180396800
121,3997,3.0,1233446400
121,1968,4.0,1212969600
121,179,4.0,1175904000
121,580,3.0,1217635200
1346,1676,3.0,1372377600
1346,2103,4.0,1372809600
1346,101,4.0,1257206400
1346,4844,5.0,1262390400
1346,4240,5.0,1318204800
1346,3829,4.0,1371945600
1346,7945,4.0,1378684800
1346,6596,5.0,1356739200
1346,2686,4.0,1256256000
1346,3559,2.0,1381190400
1346,8267,4.0,1324944000
1346,4496,2.0,1391040000
1346,2124,3.0,1284854400
1346,7260,4.0,1324598400
1346,1660,2.0,1325289600
1346,9565,3.0,1378771200
1346,8393,5.0,1258588800
1346,588,4.0,1323993600
1346,428,4.0,1376092800
1346,33,4.0,1364169600
1346,384,4.0,1366934400
1346,777,4.0,1376092800
1346,317,4.0,1366416000
1346,1012,4.0,1362268800
1346,1166,4.0,1376524800
1346,1900,5.0,1373673600
1346,4159,3.0,1392249600
1346,273,4.0,1368748800
1346,93,5.0,1377561600
1346,5057,3.0,1318896000
1346,697,4.0,1364688000
1346,2438,3.0,1375920000
195,694,3.0,1311984000
